rank,word,lemma,band,zipf,sc_option_exams,was_the_correct_answer_in,restatement_exams,exams_any_role,total_occurrences,weighted_score
59,infidelity,infidelity,off~C2,3.26,3,0,0,3,3,15
60,ascend,ascend,off~C2,3.24,3,1,0,3,3,15
61,superstition,superstition,off~C2,3.21,3,0,0,3,3,15
62,obedient,obedient,off~C2,3.19,3,0,0,3,3,15
63,interrogate,interrogate,off~C2,3.18,3,0,0,3,3,15
64,blunder,blunder,off~C2,3.13,3,0,0,3,3,15
65,overrule,overrule,off~C2,3.12,3,0,0,3,3,15
66,dispense,dispense,off~C2,3.11,3,1,0,3,3,15
67,loathe,loathe,off~C2,3.11,3,0,0,3,3,15
68,reimburse,reimburse,off~C2,3.06,3,0,0,3,3,15
69,sift,sift,off~C2,3.02,3,0,0,3,3,15
70,affluence,affluence,off~C2,2.74,3,1,0,3,3,15
71,admonish,admonish,off~C2,2.66,3,0,0,3,3,15
72,refute,refute,off~C2,3.14,2,2,6,8,9,30
73,imitate,imitate,off~C2,3.29,2,1,4,9,9,26
74,emit,emit,off~C2,3.32,2,2,1,8,10,21
75,fulfill,fulfill,off~C1+,3.86,2,1,2,8,8,20
76,longevity,longevity,off~C1+,3.55,2,0,2,5,7,20
77,odor,odor,off~C2,3.49,2,0,1,7,8,20
78,staple,staple,off~C1+,3.68,2,1,0,7,9,19
79,abundant,abundant,off~C1+,3.77,2,1,2,6,6,18
80,prevalent,prevalent,off~C1+,3.78,2,0,2,5,5,17
81,conquest,conquest,off~C1+,3.77,2,0,1,5,6,17
82,contaminate,contaminate,off~C1+,3.7,2,0,0,6,7,17
83,sew,sew,off~C1+,3.69,2,0,2,4,8,17
84,despair,despair,off~C1+,3.82,2,0,2,4,4,16
85,prolong,prolong,off~C1+,3.81,2,0,1,5,5,16
86,edible,edible,off~C1+,3.63,2,2,2,3,4,16
87,riddle,riddle,off~C2,3.44,2,0,1,4,5,16
88,emulate,emulate,off~C2,3.41,2,1,2,4,4,16
